id,Jugadores,F_Nacim_Edad,Club,Altura,Pie,Partidos_con_la_seleccion,Goles,Numero_de_camisa,anio,posicion,activo,imagen
137,Daniel Muñoz,26/05/1996 (26),Crystal Palace,1.81m,Derecho,38,3,21,2023,Defensa,True,
138,Santiago Arias,13/01/1992 (30),Esporte Clube Bahia,1.78m,Derecho,62,0,4,2023,Defensa,True,
139,Juan Mosquera,05/09/2002 (20),Portland Timbers,1.80m,Derecho,3,0,6,2023,Defensa,True,
140,Devan Tanton,03/01/2004 (18),FC Fulham U21,1.75m,Derecho,1,0,32,2023,Defensa,True,
141,Wilmar Barrios,16/10/1993 (29),Zenit de San Petersburgo,1.78m,Derecho,57,1,5,2023,Mediocampista,True,
142,Jefferson Lerma,25/10/1994 (28),Crystal Palace,1.79m,Derecho,54,3,16,2023,Mediocampista,True,
143,Matheus Uribe,21/03/1991 (31),Atlético Nacional,1.82m,Derecho,62,6,15,2023,Mediocampista,True,
144,Jorman Campuzano,30/04/1996 (26),Atlético Nacional,1.75m,Derecho,5,0,21,2023,Mediocampista,True,
145,Kevin Castaño,29/09/2000 (22),CA River Plate,1.77m,Derecho,17,0,6,2023,Mediocampista,True,
146,Yilmar Velásquez,21/08/1999 (23),Independiente Santa Fe,1.84m,Derecho,1,0,15,2023,Mediocampista,True,
147,Sebastián Gómez,03/06/1996 (26),Coritiba Foot Ball Club,1.77m,Izquierdo,2,0,33,2023,Mediocampista,True,
148,Nelson Palacio,16/06/2001 (21),Real Salt Lake City,1.80m,Derecho,1,0,25,2023,Mediocampista,True,
149,Jader Quiñónes,12/12/2000 (22),Deportes Tolima,1.70m,Derecho,1,0,34,2023,Mediocampista,True,
150,Richard Ríos,02/06/2000 (22),SE Palmeiras,1.87m,Derecho,21,2,2,2023,Mediocampista,True,
151,Juan Cuadrado,26/05/1988 (34),Atalanta de Bérgamo,1.76m,Derecho,116,10,11,2023,Mediocampista,True,
152,Jimer Fory,24/05/2002 (20),Portland Timbers,1.87m,Izquierdo,0,0,35,2023,Defensa,True,
153,Jorge Carrascal,25/05/1998 (24),Dinamo Moscú,1.80m,Derecho,19,2,8,2023,Mediocampista,True,
154,James Rodríguez,12/07/1991 (31),Club León FC,1.80m,Izquierdo,114,29,10,2023,Mediocampista,True,
155,Juan Fernando Quintero,18/01/1993 (29),CD América de Cali,1.68m,Izquierdo,41,5,20,2023,Mediocampista,True,
156,Daniel Cataño,17/01/1992 (30),Millonarios FC,1.74m,Derecho,1,0,8,2023,Mediocampista,True,
157,David Silva,13/12/1986 (36),Millonarios FC,1.75m,Derecho,2,0,36,2023,Mediocampista,True,
158,Luis Díaz,13/01/1997 (25),Liverpool FC,1.80m,Derecho,63,18,7,2023,Delantero,True,
159,Luis Sinisterra,17/06/1999 (23),AFC Bournemouth,1.72m,Derecho,18,5,9,2023,Delantero,True,
160,Daniel Ruiz Rivera,30/07/2001 (21),Millonarios FC,1.71m,Izquierdo,3,0,11,2023,Mediocampista,True,
161,Dylan Borrero,05/01/2002 (20),Fortaleza Esporte Clube,1.79m,Derecho,3,0,23,2023,Mediocampista,True,
162,Jáminton Campaz,24/05/2000 (22),CA Rosario Central,1.65m,Izquierdo,3,0,13,2023,Delantero,True,
163,Henry Mosquera,15/11/2001 (21),Red Bull Bragantino,1.75m,Derecho,2,0,37,2023,Delantero,True,
164,Óscar Cortés,03/12/2003 (19),Rangers FC,1.78m,Derecho,1,0,24,2023,Delantero,True,
165,Jhon Arias,21/09/1997 (25),Fluminense Football Club,1.68m,Derecho,29,3,11,2023,Mediocampista,True,
166,Diego Valoyes,22/09/1996 (26),FC Juárez,1.81m,Derecho,8,0,7,2023,Delantero,True,
167,Santiago Moreno,21/04/2000 (22),Portland Timbers,1.78m,Derecho,2,0,20,2023,Delantero,True,
168,Yáser Asprilla,19/11/2003 (19),Girona FC,1.76m,Izquierdo,8,2,20,2023,Delantero,True,
169,Carlos Andrés Gómez,12/09/2002 (20),Stade Rennais FC,1.71m,Derecho,4,2,38,2023,Delantero,True,
170,Ian Poveda,09/02/2000 (22),Sunderland AFC,1.67m,Izquierdo,2,0,39,2023,Mediocampista,True,
171,Rafael Borré,15/09/1995 (27),Sport Club Internacional,1.74m,Derecho,40,6,19,2023,Delantero,True,
172,Jhon Córdoba,11/05/1993 (29),FK Krasnodar,1.88m,Derecho,16,4,4,2023,Delantero,True,
173,Cucho Hernández,20/04/1999 (23),Real Betis Balompié,1.76m,Derecho,5,2,14,2023,Delantero,True,
174,Cristian Arango,09/03/1995 (27),San José Earthquakes,1.76m,Derecho,2,0,9,2023,Delantero,True,
175,Jhon Durán,13/12/2003 (19),Al-Nassr FC,1.85m,Izquierdo,16,3,14,2023,Delantero,True,
